Cell type,Sub-classification,Transcriptional markers
CD4,CD4,"CD8A-, CD8B-, CD4;CD40LG, FOXP3-, RORC-, CCR4-, IL21-, CCR10-, IRF4-, CXCR3-, Naive, KLRB1-, FTH1-"
,CD161,"CD8A-, CD8B-, CD4;CD40LG, FOXP3-, RORC-, CCR4-, IL21-, CCR10-, IRF4-, CXCR3-, Naive, KLRB1, IL32-"
,CD161.IL32,"CD8A-, CD8B-, CD4;CD40LG, FOXP3-, RORC-, CCR4-, IL21-, CCR10-, IRF4-, CXCR3-, Naive, KLRB1, IL32"
,FTH1,"CD8A-, CD8B-, CD4;CD40LG, FOXP3-, RORC-, CCR4-, IL21-, CCR10-, IRF4-, CXCR3-, Naive, KLRB1-, FTH1"
,Naive,"CD8A-, CD8B-, CD4;CD40LG, FOXP3-, RORC-, CCR4-, IL21-, CCR10-, IRF4-, CXCR3-, Naive "
,Tfh,"CD8A-, CD8B-, CD4;CD40LG, FOXP3-, RORC-, CCR4-, IL21"
,Th1,"CD8A-, CD8B-, CD4;CD40LG, FOXP3-, RORC-, CCR4-, IL21-, CCR10-, IRF4-, CXCR3"
,Th17,"CD8A-, CD8B-, CD4;CD40LG, FOXP3-, RORC"
,Th2,"CD8A-, CD8B-, CD4;CD40LG, FOXP3-, RORC-, CCR4"
,Th22,"CD8A-, CD8B-, CD4;CD40LG, FOXP3-, RORC-, CCR4-, IL21-, CCR10"
,Th9,"CD8A-, CD8B-, CD4;CD40LG, FOXP3-, RORC-, CCR4-, IL21-, CCR10-, IRF4"
,Treg,"CD8A-, CD8B-, CD4;CD40LG, FOXP3"
CD8a,CD8aa,"CD8A, CD8B-, Cyto-, FOXP3-, KIR2DL1-, Naïve-, FTH1-"
,Eff,"CD8A, CD8B-, Cyto, KIR2DL1-"
,Eff.KIR,"CD8A, CD8B-, Cyto, KIR2DL1"
,FTH1,"CD8A, CD8B-, Cyto-, FOXP3-, KIR2DL1-, Naïve-, FTH1"
,KIR,"CD8A, CD8B-, Cyto-, FOXP3-, KIR2DL1"
,Naive,"CD8A, CD8B-, Cyto-, FOXP3-, KIR2DL1-,Naive "
,Treg,"CD8A, CD8B-, Cyto-, FOXP3"
CD8ab,CD8ab,"CD8A, CD8B, Cyto-, FOXP3-, KIR2DL1, RORC-, CCR4-, CCR10-, IRF4-, CXCR3-, Naive-, KLRK1-"
,Eff,"CD8A, CD8B, Cyto, RORC-, CCR4-, CCR10-, IRF4-, CXCR3-"
,Eff.Tc1,"CD8A, CD8B, Cyto, RORC-, CCR4-, CCR10-, IRF4-, CXCR3"
,Eff.Tc2,"CD8A, CD8B, Cyto, RORC-, CCR4"
,Eff.Tc22,"CD8A, CD8B, Cyto, RORC-, CCR4-, CCR10"
,Eff.Tc9,"CD8A, CD8B, Cyto, RORC-, CCR4-, CCR10-, IRF4"
,Eff.Tc17,"CD8A, CD8B, Cyto, RORC"
,KIR,"CD8A, CD8B, Cyto-, FOXP3-, KIR2DL1"
,Naive,"CD8A, CD8B, Cyto-, FOXP3-, KIR2DL1-, RORC-, CCR4-, CCR10-, IRF4-, CXCR3-, Naive"
,NKG2D,"CD8A, CD8B, Cyto-, FOXP3-, KIR2DL1-, RORC-, CCR4-, CCR10-, IRF4-, CXCR3-, Naive-, KLRK1"
,Tc1,"CD8A, CD8B, Cyto-, FOXP3-, KIR2DL1-, RORC-, CCR4-, CCR10-, IRF4-, CXCR3"
,Tc17,"CD8A, CD8B, Cyto-, FOXP3-, KIR2DL1-, RORC"
,Tc2,"CD8A, CD8B, Cyto-, FOXP3-, KIR2DL1-, RORC-, CCR4"
,Tc22,"CD8A, CD8B, Cyto-, FOXP3-, KIR2DL1-, RORC-, CCR4-, CCR10"
,Tc9,"CD8A, CD8B, Cyto-, FOXP3-, KIR2DL1-, RORC-, CCR4-, CCR10-, IRF4"
,Treg,"CD8A, CD8B, Cyto-, FOXP3"
CD8b,CD8b,"CD8A-,CD8B"
DN,DN,"CD8A-, CD8B-, CD4-, Cyto-, FOXP3-, RORC-, CCR4-, IL21-, CCR10-, IRF4-, CXCR3-, Naive-, FTH1-"
,Eff,"CD8A-, CD8B-, CD4-, Cyto"
,FTH1,"CD8A-, CD8B-, CD4-, Cyto-, FOXP3-, RORC-, CCR4-, IL21-, CCR10-, IRF4-, CXCR3-, Naive-, FTH1"
,Naive,"CD8A-, CD8B-, CD4-, Cyto-, FOXP3-, RORC-, CCR4-, IL21-, CCR10-, IRF4-, CXCR3-, Naive"
,Tfh,"CD8A-, CD8B-, CD4-, Cyto-, FOXP3-, RORC-, CCR4-, IL21"
,Th1,"CD8A-, CD8B-, CD4-, Cyto-, FOXP3-, RORC-, CCR4-, IL21-, CCR10-, IRF4-, CXCR3"
,Th17,"CD8A-, CD8B-, CD4-, Cyto-, FOXP3-, RORC"
,Th2,"CD8A-, CD8B-, CD4-, Cyto-, FOXP3-, RORC-, CCR4"
,Th22,"CD8A-, CD8B-, CD4-, Cyto-, FOXP3-, RORC-, CCR4-, IL21-, CCR10"
,Th9,"CD8A-, CD8B-, CD4-, Cyto-, FOXP3-, RORC-, CCR4-, IL21-, CCR10-, IRF4"
,Treg,"CD8A-, CD8B-, CD4-, Cyto-, FOXP3"
